header,location,locationCrumbs,price,description,type,listNumber,specificId,urlStub,cashFlow,listingTypeId,ebitda,financingTypeId,leaseRateDuration,leaseRatePerSquareFoot,searchOffset,adLevelId,siteSpecificId,isDiamondReinforcement,brokerCompany,brokerIntroduction,brokerContactPhoto,brokerContactFullName,isInlineAd,listingPriceReduced,contactInfo,detailRequests,diamondMetaData,region,hotProperty,recentlyUpdated,recentlyAdded,isInlineBroker,brokerCompanyPhoto,brokerCertifications,realEstateIncludedInAskingPrice,initialFee,initialCapital,externalUrl,auctionStartDate,auctionEndDate,auctionDateDisplay,auctionPlacardHighlights,account,activeListingsCount,soldListingsCount,isFdResale,userTypeId,relatedSearchUrlStub,expirationTypeId,advertiserId,placementTypeId,sponsorLevelId,categoryDetails
"Recession-Proof Amazon Store, Low-Risk, Fast Sale!","Los Angeles, CA",,155000,"Priced to sell quickly—owner needs cash for real estate investment. This Amazon FBA business offers a steady, recession-resistant income stream with a highly curated selection of trusted household...",5,2386715,2386715,https://www.bizbuysell.com/business-opportunity/recession-proof-amazon-store-low-risk-fast-sale/2386715/,775987,40,139897,0,,,0,5,2386715,,,,,,,FALSE,"{'contactInfoPersonId': 1606490, 'contactFullName': 'Layla Watkins', 'contactPhoneNumber': {'telephone': '(214) 608-3776', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386715, 'headline': 'Recession-Proof Amazon Store, Low-Risk, Fast Sale!', 'askingPrice': 155000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 52, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 250, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Internet Related', 'bbsPrimaryBizTypeName': None, 'location': 'Los Angeles, CA', 'locationSt': 'California', 'regionId': 18}",CA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
High Volume Smoke shop,"Grants Pass, OR",,,This business is very profitable and has high upside. Our brand has developed steadily since the business was opened in 2022 and it can continue to build under a competent owner. This shop has not...,5,2386669,2386669,https://www.bizbuysell.com/business-opportunity/high-volume-smoke-shop/2386669/,,40,230000,0,40,2500,1,5,2386669,,,,,,,FALSE,"{'contactInfoPersonId': 1675484, 'contactFullName': 'Dhruv Aneja', 'contactPhoneNumber': {'telephone': '(602) 689-6963', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386669, 'headline': 'High Volume Smoke shop', 'askingPrice': 0.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 197, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 304, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Retail Stores', 'bbsPrimaryBizTypeName': None, 'location': 'Grants Pass, OR', 'locationSt': 'Oregon', 'regionId': 51}",OR,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Thriving LA/OC Landscaping & Irrigation Biz | $200K+ Monthly Revenue,"Carson, CA",,2400000,"Trusted by Thousands Across LA & Orange County — Turnkey Landscaping & Irrigation Business with Strong Cash Flow. Founded in 2019, Aerations Plus is a well-established and highly reputable provider of...",5,2386639,2386639,https://www.bizbuysell.com/business-opportunity/thriving-la-oc-landscaping-and-irrigation-biz-200k-monthly-revenue/2386639/,820000,40,,0,40,,2,5,2386639,,,,,,,TRUE,"{'contactInfoPersonId': 1457743, 'contactFullName': 'Joel Soper', 'contactPhoneNumber': {'telephone': '(213) 985-9226', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386639, 'headline': 'Thriving LA/OC Landscaping & Irrigation Biz | $200K+ Monthly Revenue', 'askingPrice': 2400000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 33, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 316, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Home & Garden', 'bbsPrimaryBizTypeName': None, 'location': 'Carson, CA', 'locationSt': 'California', 'regionId': 18}",CA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Restaurant INDIAN/ HALAL For Sale !! Prime location in  QUEENS!!,"Richmond Hill, NY",,154000,"Restaurant for Sale – Prime Location on Jamaica Ave & 111th St, Queens, NY Price: $154k – Contact for Details (Includes All Inventory and Major Appliances) Listing Type: Business sale Location:...",5,2386631,2386631,https://www.bizbuysell.com/business-opportunity/restaurant-indian-halal-for-sale-prime-location-in-queens/2386631/,,40,,0,40,5000,3,5,2386631,,,,,,,FALSE,"{'contactInfoPersonId': 1665670, 'contactFullName': 'VISHAL JAKHU', 'contactPhoneNumber': {'telephone': '(516) 263-6034', 'tpnPhone': '5162120754', 'tpnPhoneExt': ''}, 'contactPhoto': 'https://images.bizbuysell.com/shared/brokerdirectory/images/50693/lg_prs_IMG_9171.jpeg', 'brokerCompany': 'Voro', 'brokerProfileUrl': '/business-broker/vishal-jakhu/voro/42272/'}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386631, 'headline': 'Restaurant INDIAN/ HALAL For Sale !! Prime location in  QUEENS!!', 'askingPrice': 154000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 62, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 221, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Food & Beverage', 'bbsPrimaryBizTypeName': None, 'location': 'Richmond Hill, NY', 'locationSt': 'New York', 'regionId': 48}",NY,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,50693,0,0,0,40,,0,,,,
Value-Add Conversion Opp. | Flexible Zoning,"Washington, DC",,1200000,"26,038 SF Warehouse For Sale...",6,35268048,35268048,https://www.bizbuysell.com/business-auction/value-add-conversion-opp-flexible-zoning/35268048/,,90,,,,,0,5,35268048,,,,,,,FALSE,,,,DC,FALSE,FALSE,FALSE,,,,TRUE,,,https://www.ten-x.com/listing/2240-25th-pl-ne-washington-dc-20018/35268048/?utm_source=BizBuySell&utm_medium=DigitalPublisher&utm_campaign=SRPPlacardRegToBid-AssetMarketing-NA-NA&utm_content=SIID0000-PID0002-NON-0000-NA-TID0000,7/21/25 12:00,,"July 21-23, 2025","['Seamless access to highways and DCA airport', 'Desirable zoning with fully approved plans', 'Starting bid $1,400,000']",,0,0,0,,,0,,,,
,,,,,-2,,,,,,,,,,,-2,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
A Mountain-Top Horse Business and the Keys to a Life Worth Living,"Eagle County, CO",,2300000,"Established Mountain Horse Business - Eagle County, Colorado This thriving equestrian recreation business has been creating unforgettable mountain experiences since 2002. Located in the prestigious...",5,2386484,2386484,https://www.bizbuysell.com/business-opportunity/a-mountain-top-horse-business-and-the-keys-to-a-life-worth-living/2386484/,485000,40,,1,30,24000,4,5,2386484,,,,,,,FALSE,"{'contactInfoPersonId': 1674708, 'contactFullName': 'Kym Luck', 'contactPhoneNumber': {'telephone': '9704458204', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386484, 'headline': 'A Mountain-Top Horse Business and the Keys to a Life Worth Living', 'askingPrice': 2300000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 162, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 206, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Entertainment & Leisure', 'bbsPrimaryBizTypeName': None, 'location': 'Eagle County, CO', 'locationSt': 'Colorado', 'regionId': 19}",CO,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Indoor Sports & Entertainment Business with Recurring Revenue,"Gwinnett County, GA",,890000,"Exceptional opportunity to acquire a profitable indoor sports and recreation business with franchise infrastructure in place. Located in a thriving suburb near Atlanta, The facility includes: •...",5,2386348,2386348,https://www.bizbuysell.com/business-opportunity/indoor-sports-and-entertainment-business-with-recurring-revenue/2386348/,377700,40,,1,40,,5,5,2386348,,,,,,,FALSE,"{'contactInfoPersonId': 1537701, 'contactFullName': 'Jay Lee', 'contactPhoneNumber': {'telephone': '(865) 300-2572', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386348, 'headline': 'Indoor Sports & Entertainment Business with Recurring Revenue', 'askingPrice': 890000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 162, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 206, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Entertainment & Leisure', 'bbsPrimaryBizTypeName': None, 'location': 'Gwinnett County, GA', 'locationSt': 'Georgia', 'regionId': 24}",GA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
"House Painting Business - Texas - Arlington, Midlothian","Arlington, TX",,59970,Profitable House Painting Business with Reliable Income. Ready for Growth with the injection of new energy and excitement. Are you tired of being told what to do and how to do it? Imagine a world...,5,2386226,2386226,https://www.bizbuysell.com/business-opportunity/house-painting-business-texas-arlington-midlothian/2386226/,66597,40,,0,40,,6,5,2386226,,,,,,,FALSE,"{'contactInfoPersonId': 536106, 'contactFullName': 'Greg Newhouse', 'contactPhoneNumber': {'telephone': '(214) 661-0888', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386226, 'headline': 'House Painting Business - Texas - Arlington, Midlothian', 'askingPrice': 59970.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 149, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 170, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Building & Construction Service', 'bbsPrimaryBizTypeName': None, 'location': 'Arlington, TX', 'locationSt': 'Texas', 'regionId': 57}",TX,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Specialty Food Store with Well Established Deli and Coffee Business!,"Seattle, WA",,419000,"Our waterfront specialty food store, cherished by the community and renowned for its emphasis on local and sustainable products, offers a delightful array of fresh artisan sandwiches, gourmet coffee,...",5,2385225,2385225,https://www.bizbuysell.com/business-opportunity/specialty-food-store-with-well-established-deli-and-coffee-business/2385225/,150000,40,200000,1,40,2300,7,5,2385225,,,,,,,FALSE,"{'contactInfoPersonId': 1193196, 'contactFullName': 'Joseph Arya', 'contactPhoneNumber': {'telephone': '2063101456', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2385225, 'headline': 'Specialty Food Store with Well Established Deli and Coffee Business!', 'askingPrice': 419000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 18, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 222, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Food & Beverage', 'bbsPrimaryBizTypeName': None, 'location': 'Seattle, WA', 'locationSt': 'Washington', 'regionId': 61}",WA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
